Gamma,Tn1,Tn2,Tn3
0.0,0.06356902122416264,0.050530665252157214,0.04978013245273735
0.1,0.12948781610804894,0.1463686765322172,0.14674112054261168
0.2,0.23819525482060278,0.24609068146116603,0.22303696519329838
0.3,0.345785290130623,0.31836367312158703,0.3001430352359286
0.4,0.4287153760270748,0.41277741967549164,0.40712033879036047
0.5,0.4856249484599732,0.5217569754312102,0.5049525770393967
0.6,0.6091480025600021,0.6245182995855688,0.5864681899881564
0.7,0.7287700614858134,0.6939314801724059,0.692541614833166
0.8,0.7994169588227835,0.7987808157884775,0.7969060113138671
0.9,0.8877266150350239,0.8772219510907076,0.8989461084967224
1.0,0.9786647049647033,0.9714778993248023,0.9908223155815633
