Gamma,Tn1,Tn2,Tn3
0.0,0.064414736313335,0.06584711399927512,0.057096194125771736
0.1,0.12909372531285843,0.12750069630251443,0.13388125705618714
0.2,0.21536635427335848,0.21366199714168638,0.2269658297844065
0.3,0.3361877871601721,0.3539294105877144,0.33688129735413824
0.4,0.4391183795253609,0.4315554719094923,0.40410126429983834
0.5,0.5095088521442415,0.513842895523885,0.5376804342394664
0.6,0.6053144605899609,0.6074708266077232,0.6161801536746232
0.7,0.6896961228061257,0.6975408759648626,0.6951196103946338
0.8,0.8064445086041772,0.7890464244369284,0.790996173731273
0.9,0.8938592343054587,0.8720026840816024,0.881124429411417
1.0,0.9650190246493889,0.9614359556449169,0.9740148475621033
