gamma,Tn1,Tn2,Tn3
0,0.059934283,0.090685405,0.081350564
0.1,0.137234714,0.192839245,0.140505036
0.2,0.242953771,0.237734395,0.247112346
0.3,0.350460597,0.329501643,0.349218452
0.4,0.405316933,0.440754249,0.412980128
0.5,0.495317261,0.519743378,0.53251396
0.6,0.621584256,0.634284947,0.601987226
0.7,0.695348695,0.697839518,0.697166125
0.8,0.760610512,0.775753926,0.779965868
0.9,0.870851201,0.921312975,0.918045564
1,0.940731646,0.975484474,0.969730056
