Gamma,Tn1,Tn2,Tn3
0.0,0.04071588653982245,0.048500498385071075,0.05331154215358539
0.1,0.12575369512643705,0.16040673314265944,0.12477507866186097
0.2,0.2374759289129537,0.20129481181203918,0.22732619876825544
0.3,0.31053151300582044,0.3215038989119486,0.3023537062381403
0.4,0.40062473770242674,0.3973320351775663,0.4237910210756059
0.5,0.5199447390878456,0.5169000533735965,0.5438918877030017
0.6,0.6345603356767578,0.5738034384937197,0.6227288702109213
0.7,0.6794888409075779,0.6902665152789335,0.6880815668016327
0.8,0.7953811532212083,0.818940932605714,0.7921072787112937
0.9,0.9082408794880462,0.9038017265019289,0.8801803364329513
1.0,0.98603911417024,0.9953179883958826,0.9836535998553956
