gamma,Tn1,Tn2,Tn3
0,0.028845781,0.07042956,0.098625602
0.1,0.156450898,0.173603116,0.15221565
0.2,0.205583127,0.266787225,0.251815752
0.3,0.324177272,0.385142445,0.353625269
0.4,0.370806598,0.458872366,0.455510903
0.5,0.473436279,0.504739197,0.515416515
0.6,0.593937225,0.634481679,0.61028682
0.7,0.694769332,0.708298354,0.680873301
0.8,0.773427366,0.79046156,0.768075868
0.9,0.857687034,0.904233526,0.897250516
1,0.943977926,1,0.997124801
