Gamma,Tn1,Tn2,Tn3
0.0,0.06,0.05,0.05
0.1,0.07,0.06,0.06
0.2,0.09,0.08,0.09
0.30000000000000004,0.11,0.1,0.11
0.4,0.17,0.15,0.18
0.5,0.26,0.23,0.29
0.6000000000000001,0.4,0.36,0.44
0.7000000000000001,0.58,0.52,0.61
0.8,0.75,0.7,0.78
0.9,0.89,0.84,0.9
1.0,0.96,0.91,0.96
