Gamma,Tn1,Tn2,Tn3
0.0,0.04093265311670972,0.05666629952647958,0.03954492950698839
0.1,0.13226440713808968,0.1216013748855318,0.13119819303471936
0.2,0.24027237993327374,0.24387908846715795,0.22055810812936974
0.3,0.3402769482849284,0.3451191227332148,0.3293724177458708
0.4,0.4231251368995929,0.3909984530733827,0.43409349806353087
0.5,0.5137652731393689,0.4964693379882046,0.4805884170017742
0.6,0.6274611500555467,0.6182260265520062,0.6135635793070552
0.7,0.6856741551206931,0.7012040780990693,0.6830928816780932
0.8,0.7902081038493148,0.7881760291086103,0.7900343253730916
0.9,0.8945623837730924,0.9066730142185934,0.9037525850930955
1.0,0.9832030169313964,0.995118654867869,0.9504171700384376
