gamma,Tn1,Tn2,Tn3
0.0,0.04855979756839333,0.09401985299068266,0.06940479592465923
0.1,0.1600706579578405,0.18983521553071003,0.1792653486622671
0.2,0.23723272050095268,0.23624862170798216,0.2599415509869608
0.30000000000000004,0.3070976049078975,0.35960656224324977,0.3663728998106578
0.4,0.41722791211016824,0.4591422514302349,0.42195893812245294
0.5,0.5307607313293193,0.5695578808948303,0.5184467570680446
0.6000000000000001,0.589283479217801,0.617634595634527,0.6061578369373568
0.7000000000000001,0.7112928731162802,0.6998301279421362,0.6737297010373576
0.8,0.7176050979182051,0.7939648591283092,0.7979224055412915
0.9,0.8764380500875044,0.9103080423540414,0.8862211054435977
1.0,0.9517409413647634,0.9865750221931937,0.9701022691328491
