Gamma,Tn1,Tn2,Tn3
0.0,0.06,0.05,0.05
0.1,0.07,0.06,0.06
0.2,0.1,0.08,0.09
0.30000000000000004,0.12,0.1,0.11
0.4,0.18,0.15,0.17
0.5,0.27,0.25,0.28
0.6000000000000001,0.41,0.38,0.43
0.7000000000000001,0.57,0.55,0.6
0.8,0.73,0.71,0.76
0.9,0.86,0.85,0.88
1.0,0.94,0.92,0.95
